SampleWell,BarcodePlate,BarcodeWell,Sample_DNA_concentration,BarcodeID
A01,Plate3,A01,41.21644453,pTxFMT.00000005b.112217.DovgX
A02,Plate3,A02,17.22533069,pTxFMT.00000005c.112217.0E4zs
A03,Plate3,A03,15.44129693,pTxFMT.00000006a.112217.YAKM9
A04,Plate3,A04,13.85999428,pTxFMT.00000006b.112217.clyJT
A05,Plate3,A05,11.05419574,pTxFMT.00000006c.112217.7wkVk
A06,Plate3,A06,2.190791673,pTxFMT.00000001a.112717.Jal96
A07,Plate3,A07,1.833984922,pTxFMT.00000001b.112717.p7J4L
A08,Plate3,A08,8.191632487,pTxFMT.00000001c.112717.R63w8
A09,Plate3,A09,7.291506365,pTxFMT.00000002a.112717.IGQqF
A10,Plate3,A10,2.450287492,pTxFMT.00000002b.112717.1gTky
A11,Plate3,A11,6.934699614,pTxFMT.00000002c.112717.YV2RE
A12,Plate3,A12,2.093480741,pTxFMT.00000003a.112717.J1O72
B01,Plate3,B01,2.580035402,pTxFMT.00000003b.112717.4NR1j
B02,Plate3,B02,2.207010162,pTxFMT.00000003c.112717.3Edvh
B03,Plate3,B03,0.577052049,pTxFMT.00000004a.112717.sGjm6
B04,Plate3,B04,3.15579175,pTxFMT.00000004b.112717.nfHpM
B05,Plate3,B05,1.201463863,pTxFMT.00000004c.112717.4w4L5
B06,Plate3,B06,0.941968044,pTxFMT.00000004d.112717.8rkH4
B07,Plate3,B07,0.909531067,pTxFMT.00000005a.112717.HtgDV
B08,Plate3,B08,1.396085727,pTxFMT.00000005b.112717.3b7GL
B09,Plate3,B09,1.501505904,pTxFMT.00000005c.112717.6EJcr
B10,Plate3,B10,1.639363058,pTxFMT.00000006a.112717.sTv3N
B11,Plate3,B11,1.193354619,pTxFMT.00000006b.112717.jtgp4
B12,Plate3,B12,0.37432094,pTxFMT.00000006c.112717.wjXkK
C01,Plate3,C01,6.212976868,pTxFMT.000PM.1.1.112717.XL7To
C02,Plate3,C02,6.683313039,pTxFMT.000PM.2.1.112717.XL7To
C03,Plate3,C03,5.329069234,pTxFMT.000PM.2.2.112717.XL7To
C04,Plate3,C04,1.355539506,pTxFMT.000PM.2.3.112717.XL7To
C05,Plate3,C05,3.293648904,pTxFMT.000PM.3.1.112717.XL7To
C06,Plate3,C06,2.880077442,pTxFMT.000PM.3.2.112717.XL7To
C07,Plate3,C07,0.828438623,pTxFMT.000PM.4.1.112717.XL7To
C08,Plate3,C08,0.779783157,pTxFMT.000PM.4.2.112717.XL7To
C09,Plate3,C09,0.966295777,pTxFMT.000PM.5.1.112717.XL7To
C10,Plate3,C10,0.812220135,pTxFMT.000PM.5.2.112717.XL7To
C11,Plate3,C11,0.966295777,pTxFMT.000PM.6.1.112717.XL7To
C12,Plate3,C12,1.452850438,pTxFMT.000PM.6.2.112717.XL7To
D01,Plate3,D01,10.63251503,pTxFMT.00000001a.112817.Rd0il
D02,Plate3,D02,41.3300601,pTxFMT.00000001b.112817.osa11
D03,Plate3,D03,5.872388605,pTxFMT.00000002a.112817.rxxJ7
D04,Plate3,D04,4.137010316,pTxFMT.00000002b.112817.qXll7
D05,Plate3,D05,4.883060795,pTxFMT.00000003a.112817.VpVRL
D06,Plate3,D06,4.899279284,pTxFMT.00000003b.112817.o7c5G
D07,Plate3,D07,4.112682583,pTxFMT.00000003c.112817.frAkM
D08,Plate3,D08,4.355959913,pTxFMT.00000004a.112817.XbPpm
D09,Plate3,D09,9.562094781,pTxFMT.00000004b.112817.Q3HnS
D10,Plate3,D10,40.48503126,pTxFMT.00000004d.112817.VFd9K
D11,Plate3,D11,1.542052126,pTxFMT.00000005a.112817.wwnbE
D12,Plate3,D12,4.112682583,pTxFMT.00000005b.112817.K83fJ
E01,Plate3,E01,5.353396967,pTxFMT.00000005c.112817.DME5q
E02,Plate3,E02,4.453270845,pTxFMT.00000006a.112817.HOuW8
E03,Plate3,E03,3.545035478,pTxFMT.00000006b.112817.HsLDk
E04,Plate3,E04,2.028606786,pTxFMT.00000006c.112817.xXAw2
E05,Plate3,E05,64.5242775,pTxFMT.00000001a.120117.dHXzo
E06,Plate3,E06,39.04158577,pTxFMT.00000001b.120117.7y01U
E07,Plate3,E07,107.9697458,pTxFMT.00000001c.120117.iwLkR
E08,Plate3,E08,117.3883441,pTxFMT.00000002a.120117.iR6UY
E09,Plate3,E09,63.79303653,pTxFMT.00000002b.120117.62gwJ
E10,Plate3,E10,5.223649058,pTxFMT.00000003a.120117.ltLWv
E11,Plate3,E11,2.061043764,pTxFMT.00000003b.120117.VYNSn
E12,Plate3,E12,5.19121208,pTxFMT.00000003c.120117.YBt0w
F01,Plate3,F01,20.40415447,pTxFMT.00000004a.120117.SliNY
F02,Plate3,F02,74.739163,pTxFMT.00000004b.120117.g1mBb
F03,Plate3,F03,9.983775487,pTxFMT.00000004c.120117.w2PrV
F04,Plate3,F04,15.95217932,pTxFMT.00000004d.120117.4wByr
F05,Plate3,F05,95.13428213,pTxFMT.00000005a.120117.4AawX
F06,Plate3,F06,88.93945308,pTxFMT.00000005b.120117.dOsr8
F07,Plate3,F07,47.53440737,pTxFMT.00000005c.120117.0R5tv
F08,Plate3,F08,3.455833791,pTxFMT.00000006a.120117.Yrhq8
F09,Plate3,F09,0.877094089,pTxFMT.00000006c.120117.7Lv5B
F10,Plate3,F10,40.34064614,pTxFMT.00000001a.120517.e5BeV
F11,Plate3,F11,86.97675749,pTxFMT.00000001b.120517.Hj8JA
F12,Plate3,F12,130.1776256,pTxFMT.00000001c.120517.JxLw2
G01,Plate3,G01,108.4439643,pTxFMT.00000002a.120517.4hR7U
G02,Plate3,G02,100.8998381,pTxFMT.00000002c.120517.3JOMW
G03,Plate3,G03,4.607346487,pTxFMT.00000003a.120517.BvDuF
G04,Plate3,G04,6.683313039,pTxFMT.00000003b.120517.DtRT2
G05,Plate3,G05,12.65171688,pTxFMT.00000003c.120517.qrSMi
G06,Plate3,G06,92.0198154,pTxFMT.00000004a.120517.ABu8L
G07,Plate3,G07,54.00644586,pTxFMT.00000004b.120517.nl9DN
G08,Plate3,G08,75.40800336,pTxFMT.00000004c.120517.jYscv
G09,Plate3,G09,44.01456458,pTxFMT.00000004d.120517.xvB6q
G10,Plate3,G10,75.37177021,pTxFMT.00000005a.120517.GLPyD
G11,Plate3,G11,202.0585539,pTxFMT.00000005b.120517.CosSU
G12,Plate3,G12,164.7143137,pTxFMT.00000005c.120517.YrSLA
H01,Plate3,H01,3.991043917,pTxFMT.00000006a.120517.bmflp
H02,Plate3,H02,5.531800343,pTxFMT.00000006b.120517.TAOqC
H03,Plate3,H03,9.8215906,pTxFMT.00000006c.120517.3uVpQ
H04,Plate3,H04,114.1807072,pTxFMT.00000001a.121217.ePzm3
H05,Plate3,H05,86.81943315,pTxFMT.00000001b.121217.IReoo
H06,Plate3,H06,103.8016248,pTxFMT.00000001c.121217.TViIA
H07,Plate3,H07,144.3598575,pTxFMT.00000002a.121217.1Qc6o
H08,Plate3,H08,133.3618269,pTxFMT.00000002b.121217.01rSS
H09,Plate3,H09,98.35416904,pTxFMT.00000002c.121217.SSIFy
H10,Plate3,H10,3.950497696,pTxFMT.00000003a.121217.vE1CE
H11,Plate3,H11,11.76780924,pTxFMT.00000003b.121217.plcgd
H12,Plate3,H12,5.353396967,pTxFMT.00000003c.121217.ycX4l