Plate_96,Well_96,Well_number_96,Well_384,Well_number_384
1,A01,1,A01,1
1,A02,2,A03,3
1,A03,3,A05,5
1,A04,4,A07,7
1,A05,5,A09,9
1,A06,6,A11,11
1,A07,7,A13,13
1,A08,8,A15,15
1,A09,9,A17,17
1,A10,10,A19,19
1,A11,11,A21,21
1,A12,12,A23,23
1,B01,13,C01,49
1,B02,14,C03,51
1,B03,15,C05,53
1,B04,16,C07,55
1,B05,17,C09,57
1,B06,18,C11,59
1,B07,19,C13,61
1,B08,20,C15,63
1,B09,21,C17,65
1,B10,22,C19,67
1,B11,23,C21,69
1,B12,24,C23,71
1,C01,25,E01,97
1,C02,26,E03,99
1,C03,27,E05,101
1,C04,28,E07,103
1,C05,29,E09,105
1,C06,30,E11,107
1,C07,31,E13,109
1,C08,32,E15,111
1,C09,33,E17,113
1,C10,34,E19,115
1,C11,35,E21,117
1,C12,36,E23,119
1,D01,37,G01,145
1,D02,38,G03,147
1,D03,39,G05,149
1,D04,40,G07,151
1,D05,41,G09,153
1,D06,42,G11,155
1,D07,43,G13,157
1,D08,44,G15,159
1,D09,45,G17,161
1,D10,46,G19,163
1,D11,47,G21,165
1,D12,48,G23,167
1,E01,49,I01,193
1,E02,50,I03,195
1,E03,51,I05,197
1,E04,52,I07,199
1,E05,53,I09,201
1,E06,54,I11,203
1,E07,55,I13,205
1,E08,56,I15,207
1,E09,57,I17,209
1,E10,58,I19,211
1,E11,59,I21,213
1,E12,60,I23,215
1,F01,61,K01,241
1,F02,62,K03,243
1,F03,63,K05,245
1,F04,64,K07,247
1,F05,65,K09,249
1,F06,66,K11,251
1,F07,67,K13,253
1,F08,68,K15,255
1,F09,69,K17,257
1,F10,70,K19,259
1,F11,71,K21,261
1,F12,72,K23,263
1,G01,73,M01,289
1,G02,74,M03,291
1,G03,75,M05,293
1,G04,76,M07,295
1,G05,77,M09,297
1,G06,78,M11,299
1,G07,79,M13,301
1,G08,80,M15,303
1,G09,81,M17,305
1,G10,82,M19,307
1,G11,83,M21,309
1,G12,84,M23,311
1,H01,85,O01,337
1,H02,86,O03,339
1,H03,87,O05,341
1,H04,88,O07,343
1,H05,89,O09,345
1,H06,90,O11,347
1,H07,91,O13,349
1,H08,92,O15,351
1,H09,93,O17,353
1,H10,94,O19,355
1,H11,95,O21,357
1,H12,96,O23,359
2,A01,1,A02,2
2,A02,2,A04,4
2,A03,3,A06,6
2,A04,4,A08,8
2,A05,5,A10,10
2,A06,6,A12,12
2,A07,7,A14,14
2,A08,8,A16,16
2,A09,9,A18,18
2,A10,10,A20,20
2,A11,11,A22,22
2,A12,12,A24,24
2,B01,13,C02,50
2,B02,14,C04,52
2,B03,15,C06,54
2,B04,16,C08,56
2,B05,17,C10,58
2,B06,18,C12,60
2,B07,19,C14,62
2,B08,20,C16,64
2,B09,21,C18,66
2,B10,22,C20,68
2,B11,23,C22,70
2,B12,24,C24,72
2,C01,25,E02,98
2,C02,26,E04,100
2,C03,27,E06,102
2,C04,28,E08,104
2,C05,29,E10,106
2,C06,30,E12,108
2,C07,31,E14,110
2,C08,32,E16,112
2,C09,33,E18,114
2,C10,34,E20,116
2,C11,35,E22,118
2,C12,36,E24,120
2,D01,37,G02,146
2,D02,38,G04,148
2,D03,39,G06,150
2,D04,40,G08,152
2,D05,41,G10,154
2,D06,42,G12,156
2,D07,43,G14,158
2,D08,44,G16,160
2,D09,45,G18,162
2,D10,46,G20,164
2,D11,47,G22,166
2,D12,48,G24,168
2,E01,49,I02,194
2,E02,50,I04,196
2,E03,51,I06,198
2,E04,52,I08,200
2,E05,53,I10,202
2,E06,54,I12,204
2,E07,55,I14,206
2,E08,56,I16,208
2,E09,57,I18,210
2,E10,58,I20,212
2,E11,59,I22,214
2,E12,60,I24,216
2,F01,61,K02,242
2,F02,62,K04,244
2,F03,63,K06,246
2,F04,64,K08,248
2,F05,65,K10,250
2,F06,66,K12,252
2,F07,67,K14,254
2,F08,68,K16,256
2,F09,69,K18,258
2,F10,70,K20,260
2,F11,71,K22,262
2,F12,72,K24,264
2,G01,73,M02,290
2,G02,74,M04,292
2,G03,75,M06,294
2,G04,76,M08,296
2,G05,77,M10,298
2,G06,78,M12,300
2,G07,79,M14,302
2,G08,80,M16,304
2,G09,81,M18,306
2,G10,82,M20,308
2,G11,83,M22,310
2,G12,84,M24,312
2,H01,85,O02,338
2,H02,86,O04,340
2,H03,87,O06,342
2,H04,88,O08,344
2,H05,89,O10,346
2,H06,90,O12,348
2,H07,91,O14,350
2,H08,92,O16,352
2,H09,93,O18,354
2,H10,94,O20,356
2,H11,95,O22,358
2,H12,96,O24,360
3,A01,1,B01,25
3,A02,2,B03,27
3,A03,3,B05,29
3,A04,4,B07,31
3,A05,5,B09,33
3,A06,6,B11,35
3,A07,7,B13,37
3,A08,8,B15,39
3,A09,9,B17,41
3,A10,10,B19,43
3,A11,11,B21,45
3,A12,12,B23,47
3,B01,13,D01,73
3,B02,14,D03,75
3,B03,15,D05,77
3,B04,16,D07,79
3,B05,17,D09,81
3,B06,18,D11,83
3,B07,19,D13,85
3,B08,20,D15,87
3,B09,21,D17,89
3,B10,22,D19,91
3,B11,23,D21,93
3,B12,24,D23,95
3,C01,25,F01,121
3,C02,26,F03,123
3,C03,27,F05,125
3,C04,28,F07,127
3,C05,29,F09,129
3,C06,30,F11,131
3,C07,31,F13,133
3,C08,32,F15,135
3,C09,33,F17,137
3,C10,34,F19,139
3,C11,35,F21,141
3,C12,36,F23,143
3,D01,37,H01,169
3,D02,38,H03,171
3,D03,39,H05,173
3,D04,40,H07,175
3,D05,41,H09,177
3,D06,42,H11,179
3,D07,43,H13,181
3,D08,44,H15,183
3,D09,45,H17,185
3,D10,46,H19,187
3,D11,47,H21,189
3,D12,48,H23,191
3,E01,49,J01,217
3,E02,50,J03,219
3,E03,51,J05,221
3,E04,52,J07,223
3,E05,53,J09,225
3,E06,54,J11,227
3,E07,55,J13,229
3,E08,56,J15,231
3,E09,57,J17,233
3,E10,58,J19,235
3,E11,59,J21,237
3,E12,60,J23,239
3,F01,61,L01,265
3,F02,62,L03,267
3,F03,63,L05,269
3,F04,64,L07,271
3,F05,65,L09,273
3,F06,66,L11,275
3,F07,67,L13,277
3,F08,68,L15,279
3,F09,69,L17,281
3,F10,70,L19,283
3,F11,71,L21,285
3,F12,72,L23,287
3,G01,73,N01,313
3,G02,74,N03,315
3,G03,75,N05,317
3,G04,76,N07,319
3,G05,77,N09,321
3,G06,78,N11,323
3,G07,79,N13,325
3,G08,80,N15,327
3,G09,81,N17,329
3,G10,82,N19,331
3,G11,83,N21,333
3,G12,84,N23,335
3,H01,85,P01,361
3,H02,86,P03,363
3,H03,87,P05,365
3,H04,88,P07,367
3,H05,89,P09,369
3,H06,90,P11,371
3,H07,91,P13,373
3,H08,92,P15,375
3,H09,93,P17,377
3,H10,94,P19,379
3,H11,95,P21,381
3,H12,96,P23,383
4,A01,1,B02,26
4,A02,2,B04,28
4,A03,3,B06,30
4,A04,4,B08,32
4,A05,5,B10,34
4,A06,6,B12,36
4,A07,7,B14,38
4,A08,8,B16,40
4,A09,9,B18,42
4,A10,10,B20,44
4,A11,11,B22,46
4,A12,12,B24,48
4,B01,13,D02,74
4,B02,14,D04,76
4,B03,15,D06,78
4,B04,16,D08,80
4,B05,17,D10,82
4,B06,18,D12,84
4,B07,19,D14,86
4,B08,20,D16,88
4,B09,21,D18,90
4,B10,22,D20,92
4,B11,23,D22,94
4,B12,24,D24,96
4,C01,25,F02,122
4,C02,26,F04,124
4,C03,27,F06,126
4,C04,28,F08,128
4,C05,29,F10,130
4,C06,30,F12,132
4,C07,31,F14,134
4,C08,32,F16,136
4,C09,33,F18,138
4,C10,34,F20,140
4,C11,35,F22,142
4,C12,36,F24,144
4,D01,37,H02,170
4,D02,38,H04,172
4,D03,39,H06,174
4,D04,40,H08,176
4,D05,41,H10,178
4,D06,42,H12,180
4,D07,43,H14,182
4,D08,44,H16,184
4,D09,45,H18,186
4,D10,46,H20,188
4,D11,47,H22,190
4,D12,48,H24,192
4,E01,49,J02,218
4,E02,50,J04,220
4,E03,51,J06,222
4,E04,52,J08,224
4,E05,53,J10,226
4,E06,54,J12,228
4,E07,55,J14,230
4,E08,56,J16,232
4,E09,57,J18,234
4,E10,58,J20,236
4,E11,59,J22,238
4,E12,60,J24,240
4,F01,61,L02,266
4,F02,62,L04,268
4,F03,63,L06,270
4,F04,64,L08,272
4,F05,65,L10,274
4,F06,66,L12,276
4,F07,67,L14,278
4,F08,68,L16,280
4,F09,69,L18,282
4,F10,70,L20,284
4,F11,71,L22,286
4,F12,72,L24,288
4,G01,73,N02,314
4,G02,74,N04,316
4,G03,75,N06,318
4,G04,76,N08,320
4,G05,77,N10,322
4,G06,78,N12,324
4,G07,79,N14,326
4,G08,80,N16,328
4,G09,81,N18,330
4,G10,82,N20,332
4,G11,83,N22,334
4,G12,84,N24,336
4,H01,85,P02,362
4,H02,86,P04,364
4,H03,87,P06,366
4,H04,88,P08,368
4,H05,89,P10,370
4,H06,90,P12,372
4,H07,91,P14,374
4,H08,92,P16,376
4,H09,93,P18,378
4,H10,94,P20,380
4,H11,95,P22,382
4,H12,96,P24,384
